0,1,celltype,batch
12.379045,11.430506,gamma,celseq
12.707806,10.390257,gamma,celseq
12.439154,10.995505,gamma,celseq
12.576411,10.818328,gamma,celseq
10.128817,1.1272061,gamma,celseq
12.519862,11.354488,gamma,celseq
12.65299,10.2139845,gamma,celseq
12.5915985,10.615123,gamma,celseq
12.4328375,11.09794,gamma,celseq
12.782176,9.736935,gamma,celseq
12.655231,9.918946,gamma,celseq
12.548267,10.7963505,gamma,celseq
11.97688,11.079533,gamma,celseq
12.764188,10.3176365,gamma,celseq
12.707861,10.775542,gamma,celseq
12.695938,10.217249,gamma,celseq
12.69279,10.172707,gamma,celseq
12.110661,11.268526,gamma,celseq
3.5915682,-1.6739516,acinar,celseq
2.339044,-2.4020653,acinar,celseq
1.8753384,-2.593838,acinar,celseq
1.2249018,-2.3690526,acinar,celseq
1.657212,-2.7023337,acinar,celseq
1.2612319,-2.279515,acinar,celseq
2.9600098,-1.3868287,acinar,celseq
2.538913,-2.3816986,acinar,celseq
2.036282,-2.745899,acinar,celseq
1.5807714,-2.464583,acinar,celseq
2.467702,-2.0819602,acinar,celseq
2.3849938,-1.8323576,acinar,celseq
3.9069784,-1.1562357,acinar,celseq
2.1712582,-2.106193,acinar,celseq
3.0093508,-1.4612715,acinar,celseq
2.9727743,-0.32967266,acinar,celseq
2.6428907,-1.1655027,acinar,celseq
2.2585533,-0.6974447,acinar,celseq
3.2904766,-1.8385215,acinar,celseq
3.0459795,-1.5410744,acinar,celseq
2.7362623,-2.0943727,acinar,celseq
2.0023885,-2.010689,acinar,celseq
2.5112555,-2.0583875,acinar,celseq
1.9531918,-1.9419925,acinar,celseq
2.2860029,-1.9392501,acinar,celseq
1.6993966,-1.6773175,acinar,celseq
3.050263,-1.6848564,acinar,celseq
1.5814466,-2.1741748,acinar,celseq
1.6800098,-2.04121,acinar,celseq
1.8061235,-2.88711,acinar,celseq
2.0470538,-2.8265295,acinar,celseq
1.8206397,-2.6959329,acinar,celseq
2.9329526,-1.3196617,acinar,celseq
1.4939579,-1.8942773,acinar,celseq
2.0191114,-1.8884494,acinar,celseq
1.8575175,-2.1451828,acinar,celseq
1.8388224,-2.271847,acinar,celseq
2.2473564,-2.233733,acinar,celseq
2.3457396,-2.3028445,acinar,celseq
1.5999372,-2.297131,acinar,celseq
1.5709443,-2.5342114,acinar,celseq
2.6852703,-2.232764,acinar,celseq
2.052357,-2.6825113,acinar,celseq
1.4485195,-2.6759553,acinar,celseq
3.6567109,-1.6796663,acinar,celseq
2.0262148,-2.720418,acinar,celseq
1.3332555,-2.3632267,acinar,celseq
1.6944906,-2.1782994,acinar,celseq
1.6061417,-2.7159393,acinar,celseq
1.9302943,-2.2864258,acinar,celseq
1.7633376,-2.1688023,acinar,celseq
2.2452626,-2.3676684,acinar,celseq
2.2759728,-2.8654294,acinar,celseq
1.8361381,-2.5102599,acinar,celseq
1.600837,-2.624984,acinar,celseq
2.4830742,-2.6908004,acinar,celseq
2.2151766,-2.3601375,acinar,celseq
3.566615,-1.6694411,acinar,celseq
2.1379738,-2.7861288,acinar,celseq
1.6584517,-2.555771,acinar,celseq
1.9613967,-2.3443823,acinar,celseq
2.61323,-2.5055792,acinar,celseq
1.8028873,-2.464893,acinar,celseq
2.3212893,-2.5728421,acinar,celseq
1.9042996,-2.7870038,acinar,celseq
2.2844222,-2.769437,acinar,celseq
3.1435568,-0.64006746,acinar,celseq
1.7928857,-1.9467607,acinar,celseq
3.39089,-0.709858,acinar,celseq
3.203561,-0.8424177,acinar,celseq
3.4834542,-1.5419477,acinar,celseq
1.5209745,-2.1782186,acinar,celseq
2.5185308,-2.2605925,acinar,celseq
3.3585494,-1.3518821,acinar,celseq
2.0892782,-2.6177042,acinar,celseq
3.617168,-1.0760343,acinar,celseq
3.413219,-1.3843825,acinar,celseq
3.3846872,-1.5090636,acinar,celseq
3.3573766,-1.0019097,acinar,celseq
2.2640536,-2.6284373,acinar,celseq
1.6410398,-2.7472422,acinar,celseq
3.448049,-1.7861947,acinar,celseq
2.025829,-2.0752578,acinar,celseq
2.352683,-2.541324,acinar,celseq
1.7860309,-2.297133,acinar,celseq
2.2634525,-2.372197,acinar,celseq
1.3665131,-2.5700111,acinar,celseq
2.4922981,-2.542996,acinar,celseq
2.1737187,-2.7597284,acinar,celseq
2.3351862,-2.659762,acinar,celseq
3.6650798,-1.5848604,acinar,celseq
1.8755301,-2.6199698,acinar,celseq
1.944639,-2.2750437,acinar,celseq
3.429152,-1.3562706,acinar,celseq
2.3719509,-2.5321572,acinar,celseq
3.5774913,-1.7010306,acinar,celseq
3.7415447,-0.7828084,acinar,celseq
3.0111806,-0.40842587,acinar,celseq
3.3618338,-0.3534028,acinar,celseq
2.557302,-1.221443,acinar,celseq
2.4137166,-0.6905411,acinar,celseq
